"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"NA.89",14641,138,"EagleLake",44.808755,-93.93439,158575.794273151,971375.842769549,0.227278149838898,0.133771464855325,NA,NA,200.312473283042,1951.16106730453,22
"NA.90",14643,139,"LakeEmilyNortheastBasin",44.313795,-93.914375,152853.918780473,916560.285063892,0,0.0711500466447449,NA,NA,214.8761779534,929.388848288373,14
"NA.91",14645,140,"FullerLake",45.421695,-94.075455,156698.403940334,1040482.08819966,0.266467264770128,0.170232533988969,NA,NA,165.974262928565,1800.29435958504,19
"NA.92",14839,243,"LakeMina",45.89346,-95.47561,56393.7345068933,1108037.22067588,0.232871642213101,0.17992475411642,NA,NA,154,830,171
"NA.93",14889,222,"TowerLake",46.542635,-86.037795,786467.312931123,1112121.26841985,0.254591195576677,0.266879734871493,NA,NA,504.339108472782,1792.8643451398,10
"NA.94",14933,224,"NelsonLake",46.2287,-85.380295,835863.525509686,1075635.78525994,0.0695728612319017,0.225316621217377,NA,NA,226.392793252686,1886.99489986128,7
"NA.95",15032,225,"MudLake",47.129415,-88.3169877777778,616273.445463919,1185852.88006616,0.08016106528596,0.249445435071121,NA,NA,167.26151776994,1989.47465960947,12
"NA.96",15035,226,"LilyLake",47.911995,-89.0908,564110.659326013,1276716.31642269,0.066528715793811,0.242154679857638,NA,NA,1016.52263817091,1934.91031237886,12
"NA.97",15167,142,"ElkLake",47.18919,-95.21787,97540.3846250611,1247722.5106476,0,0.14459794497949,NA,NA,181.099649259485,181.099649259485,1
"NA.98",15169,144,"ElkLake",47.18919,-95.21787,97540.3846250611,1247722.5106476,0,0.14459794497949,NA,NA,188.401044779062,188.401044779062,1
"NA.99",15245,29,"GeorgeLake",44.2329,-93.87066,155119.584058485,907176.523999103,0,0.0711500466447449,NA,NA,175.646428345504,255.349884163647,3
"NA.100",15248,119,"AlbertLeaLake",43.65255,-93.284,193492.153952911,837111.048630138,0,0.0433589464211502,NA,NA,169.625580169204,348.944244784184,3
"NA.101",15252,148,"OzawindibLake",47.22823,-95.27284,94074.418584051,1252639.05704606,0.0681794540651358,0.170475358068551,NA,NA,155.638961681025,858.726252794233,30
"NA.102",15254,149,"LittleHorseshoeLake",45.590765,-93.06903,236972.432076886,1049095.51006457,0.237157423313539,0.195619322806441,NA,NA,153.303760591206,387.725289171647,5
"NA.103",15256,150,"CoraLake",46.165285,-95.32412,72526.2581222338,1136196.64939661,0.0216419241237721,0.19440689734358,NA,NA,162.583288029881,471.480362258191,7
"NA.104",15269,146,"ElkLake",47.18919,-95.21787,97540.3846250611,1247722.5106476,0,0.14459794497949,NA,NA,164.999961695364,164.999961695364,1
